id;municipio;2018;2019;2020;2021
421220;PAPANDUVA;19218;19320;19422;19521
421223;PARAISO;3515;3437;3360;3284
421225;PASSO DE TORRES;8594;8823;9048;9269
421227;PASSOS MAIA;4186;4147;4109;4072
421230;PAULO LOPES;7418;7494;7569;7642
421240;PEDRAS GRANDES;4000;3976;3953;3931
421250;PENHA;31764;32531;33284;34022
421260;PERITIBA;2814;2787;2760;2733
421265;PESCARIA BRAVA;10022;10091;10159;10225
421270;PETROLANDIA;5971;5937;5905;5873
421280;BALNEARIO PICARRAS;22511;23147;23772;24385
421290;PINHALZINHO;19906;20313;20712;21103
421300;PINHEIRO PRETO;3513;3555;3596;3635
421310;PIRATUBA;3965;3854;3745;3637
421315;PLANALTO ALEGRE;2850;2870;2888;2907
421320;POMERODE;32874;33447;34010;34561
421330;PONTE ALTA;4714;4682;4650;4619
421335;PONTE ALTA DO NORTE;3408;3414;3420;3426
421340;PONTE SERRADA;11552;11593;11634;11674
421350;PORTO BELO;20834;21388;21932;22466
421360;PORTO UNIAO;35250;35398;35543;35685
421370;POUSO REDONDO;17189;17453;17712;17965
421380;PRAIA GRANDE;7326;7319;7312;7305
421390;PRESIDENTE CASTELLO BRANCO;1590;1568;1547;1526
421400;PRESIDENTE GETULIO;17215;17471;17726;17973
421410;PRESIDENTE NEREU;2290;2287;2283;2279
421415;PRINCESA;2911;2924;2937;2950
421420;QUILOMBO;9946;9887;9829;9773
421430;RANCHO QUEIMADO;2868;2878;2887;2897
421440;RIO DAS ANTAS;6208;6205;6202;6199
421450;RIO DO CAMPO;5979;5940;5902;5864
421460;RIO DO OESTE;7456;7489;7520;7552
421470;RIO DOS CEDROS;11542;11676;11808;11937
421480;RIO DO SUL;70100;71061;72006;72931
421490;RIO FORTUNA;4601;4611;4620;4630
421500;RIO NEGRINHO;42106;42302;42495;42684
421505;RIO RUFINO;2482;2483;2483;2484
421507;RIQUEZA;4636;4598;4561;4525
421510;RODEIO;11502;11551;11600;11647
421520;ROMELANDIA;4890;4786;4684;4584
421530;SALETE;7626;7642;7659;7674
421535;SALTINHO;3808;3781;3754;3727
421540;SALTO VELOSO;4680;4718;4756;4792
421545;SANGAO;12446;12678;12905;13128
421550;SANTA CECILIA;16741;16830;16918;17004
421555;SANTA HELENA;2247;2223;2200;2178
421560;SANTA ROSA DE LIMA;2137;2142;2147;2151
421565;SANTA ROSA DO SUL;8338;8358;8378;8397
421567;SANTA TEREZINHA;8801;8787;8773;8760
421568;SANTA TEREZINHA DO PROGRESSO;2484;2428;2372;2317
421569;SANTIAGO DO SUL;1286;1260;1235;1211
421570;SANTO AMARO DA IMPERATRIZ;22905;23245;23579;23907
421575;SAO BERNARDINO;2386;2336;2287;2239
421580;SAO BENTO DO SUL;83576;84507;85421;86317
421590;SAO BONIFACIO;2862;2838;2814;2791
421600;SAO CARLOS;11191;11281;11369;11456
421605;SAO CRISTOVAO DO SUL;5499;5549;5598;5646
421610;SAO DOMINGOS;9457;9445;9434;9422
421620;SAO FRANCISCO DO SUL;51677;52721;53746;54751
421625;SAO JOAO DO OESTE;6359;6381;6402;6423
421630;SAO JOAO BATISTA;36244;37424;38583;39719
421635;SAO JOAO DO ITAPERIU;3707;3733;3759;3784
421640;SAO JOAO DO SUL;7280;7297;7315;7332
421650;SAO JOAQUIM;26763;26952;27139;27322
421660;SAO JOSE;242927;246586;250181;253705
421670;SAO JOSE DO CEDRO;13838;13829;13820;13811
421680;SAO JOSE DO CERRITO;8421;8295;8173;8054
421690;SAO LOURENCO DO OESTE;23857;24076;24291;24501
421700;SAO LUDGERO;13165;13410;13650;13886
421710;SAO MARTINHO;3189;3180;3171;3162
421715;SAO MIGUEL DA BOA VISTA;1833;1820;1807;1794
421720;SAO MIGUEL DO OESTE;40090;40482;40868;41246
421725;SAO PEDRO DE ALCANTARA;5709;5823;5935;6046
421730;SAUDADES;9679;9745;9810;9874
421740;SCHROEDER;20728;21365;21991;22605
421750;SEARA;17506;17541;17576;17610
421755;SERRA ALTA;3270;3263;3256;3249
421760;SIDEROPOLIS;13920;14007;14092;14176
421770;SOMBRIO;30010;30374;30733;31084
421775;SUL BRASIL;2500;2461;2423;2386
421780;TAIO;18302;18395;18486;18576
421790;TANGARA;8691;8676;8662;8648
421795;TIGRINHOS;1646;1633;1619;1606
421800;TIJUCAS;37645;38407;39155;39889
421810;TIMBE DO SUL;5354;5348;5343;5338
421820;TIMBO;43484;44238;44977;45703
421825;TIMBO GRANDE;7812;7877;7941;8003
421830;TRES BARRAS;19183;19275;19366;19455
421835;TREVISO;3891;3929;3966;4002
421840;TREZE DE MAIO;7070;7081;7093;7104
421850;TREZE TILIAS;7687;7840;7991;8138
421860;TROMBUDO CENTRAL;7284;7360;7434;7506
421870;TUBARAO;104937;105686;106422;107143
421875;TUNAPOLIS;4561;4543;4525;4507
421880;TURVO;12806;12899;12990;13080
421885;UNIAO DO OESTE;2517;2464;2412;2364
421890;URUBICI;11195;11235;11273;11311
421895;URUPEMA;2472;2465;2459;2453
